N,Group1,Treatment,Experiment,Dose,Replicate,BodyWgt0,BodyWgt1,BodyWgt2,BodyWgt3,BodyWgt4,BodyWgt5,BodyWgt6,BodyWgt7,BodyWgt8,BodyWgt9,BodyWgt10,BodyWgt11,BodyWgt12,BodyWgtAVEwk1,BodyWgtAVE,FecalWgt1,FecalWgt2,FecalWgt3,FecalWgt4,FecalWgt5,FecalWgt6,FecalWgt7,FecalWgt8,FecalWgt9,FecalWgt10,FecalWgt11,FecalWgt12,FecalWgtAVEwk1,FecalWgtAVE,Urine_ml1,Urine_ml2,Urine_ml3,Urine_ml4,Urine_ml5,Urine_ml6,Urine_ml7,Urine_ml8,Urine_ml9,Urine_ml10,Urine_ml11,Urine_ml12,Urine_mlAVEwk1,Urine_mlAVE,Water_ml1,Water_ml2,Water_ml3,Water_ml4,Water_ml5,Water_ml6,Water_ml7,Water_ml8,Water_ml9,Water_ml10,Water_ml11,Water_ml12,Water_mlAVEwk1,Water_mlAVE,Food1,Food2,Food3,Food4,Food5,Food6,Food7,Food8,Food9,Food10,Food11,Food12,FoodAVEwk1,FoodAVE,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8,Dose9,Dose10,Dose11,Dose12,DoseAVEwk1,DoseAVE
36,APhigh,AP,AP,high3.3,C,234.9,211.8,201.1,190.8,187.7,183.6,191.2,198.5,196.1,200.6,204.2,210.8,217.8,194.4,202.2,5.4,1.6,1.2,1.3,2.6,,4.6,4.6,4.8,5.3,6.5,3.8,2.4,3.8,9,3.4,0.8,0.5,0.8,,5.5,4.1,3,2.3,0.9,7.5,2.9,3.4,7,8,7,14,14,,26,17,24,26,26,27,10,17.8,11,6.2,1.9,6.3,18.7,,14.2,27.7,61,,20.1,35.5,8.8,29,23.1,26.4,23.1,46.2,46.2,,85.8,56.1,79.2,85.8,85.8,89.1,33,58.8
37,control,Nothing,AP,none0,D,206.4,214.8,222.5,229.8,237.2,250.1,263.5,271,275.9,280.1,286.3,295.2,300.8,236.3,256.4,8.5,7.9,6.5,8.6,8.3,,5,7,10.1,10.5,8.8,9.6,8,8.2,20,14,12,19.5,10,,16,16.5,16.5,18,15,12.5,15.1,15.5,47,40,35,53.5,44,,49,46,44,52,48,49,43.9,46.1,22,19.6,20,23.3,22.8,,19.3,35,29.1,,24.8,28.9,21.5,33.2,0,0,0,0,0,,0,0,0,0,0,0,0,0
38,control,Nothing,AP,none0,D,212.5,220.9,228.2,241.8,244.4,254.5,267.7,280.5,284.1,289.4,291.1,296.1,301.1,242.9,262.5,12.5,9.5,7,10,8.3,,10.3,7.6,10,11.3,9.5,7.6,9.5,9.4,22,15,14.5,16.5,11.5,,17.5,17,18.5,19,16,13,15.9,16.4,45,37,39,53,39,,43,37,41,42,40,40,42.6,41.5,23.7,22.1,23.1,23.8,14.1,,24,26.9,35.2,,23.9,33.2,21.4,33.9,0,0,0,0,0,,0,0,0,0,0,0,0,0
39,control,Nothing,AP,none0,D,235.8,246.4,254.6,269,275.8,288.8,295.1,304.5,318.9,321.4,325.2,335,343.9,271.6,293.4,15.2,11.9,11.8,13.8,9.5,,6.6,10.9,12,10.1,9.8,10,12.4,11.1,23,20,17.5,16.5,14,,17,18.5,20.5,18.5,16.5,14,18.2,17.8,51,47,49,53,49,,39,46,42,46,46,45,49.8,46.6,28.6,28.1,27.6,28.7,44.8,,20.6,51.4,23.9,,27.1,31.4,31.6,40.3,0,0,0,0,0,,0,0,0,0,0,0,0,0
40,APlow,AP,AP,low.3,D,192,187.7,188,194,202.5,208,219.3,227.8,229.9,236.2,239.5,247,252.7,199.9,217.3,8.9,8.6,8.1,6.7,6,,5.5,6,7,6,7,6.8,7.6,7,17.5,14.5,12,10,7.5,,10,12,7.5,8,7,5.5,12.3,10.1,32,34,35,37,33,,29,29,28,30,30,32,34.2,31.7,17.9,16.2,15.8,18,34,,16.3,45.1,51.3,,22.7,25.1,20.4,35.8,9.6,10.2,10.5,11.1,9.9,,8.7,8.7,8.4,9,9,9.6,10.3,9.5
41,APlow,AP,AP,low.3,D,219.4,218.3,222.4,224,238,247.7,259.5,268.2,274.7,279.7,286.6,293.4,300,235,256.3,12.2,9.6,9.3,9.1,6.3,,8.9,8.4,8.7,8.9,9.8,6.4,9.3,8.9,13,7,6,4,3.2,,9,10.5,8.5,9,4.5,5,6.6,7.2,32,28,34,38,32,,32,32,32,34,35,36,32.8,33.2,21.2,21.2,18.4,25.6,39.6,,20.8,38.5,44.4,,24.3,32.1,25.2,37.6,9.6,8.4,10.2,11.4,9.6,,9.6,9.6,9.6,10.2,10.5,10.8,9.8,10
42,APlow,AP,AP,low.3,D,228.5,225.7,232.5,237.3,243.6,252.5,269,275,282.5,286.9,292.1,302.3,308.1,243.4,264.3,3.3,6.9,7.7,7.5,5.5,,10.6,6.4,12.1,7.8,8.3,9.5,6.9,8.2,13,8,6.5,5.5,4.5,,6,7,7,7,8,5.5,7.5,7.1,30,33,34,39,31,,38,35,33,35,36,38,33.4,34.7,,20.3,16,20.5,45.4,,21.4,44.8,38.5,,24.5,36.9,25.6,39.8,9,9.9,10.2,11.7,9.3,,11.4,10.5,9.9,10.5,10.8,11.4,10,10.4
43,APmed,AP,AP,med1,D,208.8,193.8,192.2,196.3,200.4,206.5,218,225,231.7,237.7,243.8,251.5,261.1.,201.2,217.1,7.4,4.3,4.4,6.2,6,,7.6,6.6,7,8.1,8.2,8.5,5.7,6.8,10.5,4,3,2,1.6,,8.5,8.5,8.5,6,5,3.5,4.2,5.6,16,14,23,36,32,,31,31,32,32,30,33,24.2,28.2,16.1,11.1,14.1,15.6,51.1,,18.7,48.7,47.9,,21.8,17.3,21.6,35.9,16,14,23,36,32,,31,31,32,32,30,33,24.2,28.2
44,APmed,AP,AP,med1,D,213.6,200,196,197.1,203.6,213.5,230.6,240.8,247.5,256.5,258.5,268.7,274.7,206.8,230.9,6.8,3.1,3.2,2.9,4.7,,7.3,8.1,8,9.9,7.7,7.2,4.1,6.2,9.5,3.1,2,1.7,2.6,,6,7,6.5,6,5,4,3.8,4.9,15,12,19,32,34,,28,32,30,32,31,28,22.4,26.6,9.7,10.7,11.6,8.6,54.9,,18.7,48.2,43.9,,23.1,29.8,19.1,34.9,15,12,19,32,34,,28,32,30,32,31,28,22.4,26.6
45,APmed,AP,AP,med1,D,225.9,212.7,209.4,215.5,215.5,221.6,243,244.1,250.3,258.5,236.5,270.6,280,219.6,237.2,8.5,4,5,5.8,5.6,,8.1,7,7.4,8,6.7,7.3,5.8,6.7,11,4.1,2.2,1.8,1.5,,12,8,6.5,7,3.5,2,4.1,5.4,20,15,23,25,28,,30,28,34,31,30,31,22.2,26.8,15.3,11.9,,,81.5,,16.5,79.9,43.8,,21.2,,36.3,38.6,20,15,23,25,28,,30,28,34,31,30,31,22.2,26.8
46,APhigh,AP,AP,high3.3,D,204.2,184.5,176.3,168.7,160.3,154.9,144,144.9,139.1,139.8,138.6,137.8,136.7,164.8,156.1,5.5,2.5,1.3,1,0.8,,1.9,2.1,1.8,2.6,2.5,2.3,2.2,2.2,7,1.3,0.7,0.5,0.5,,1.1,3.5,1.2,1,0.6,0.5,2,1.6,,10,10,12,10,,12,6,12,15,10,13,10.5,11,9.7,6.2,4.3,3.2,75.6,,6.5,65.3,86.5,,33,19.8,19.8,41.3,0,33,33,39.6,33,,39.6,19.8,39.6,49.5,33,42.9,27.7,36.3
47,APhigh,AP,AP,high3.3,D,223.1,199.1,191.1,184.8,180.5,180.2,186.7,192,197.2,203.6,208.6,215.2,222,187.1,198.8,7,1.7,1.6,1.8,1.1,,7,5.7,5.9,7.4,4.9,6.2,2.7,4.6,12,2,0.6,0.5,0.5,,3.1,1.6,1.8,2,2.3,2.6,3.1,2.6,9,5,8,17,13,,20,22,24,28,27,30,10.4,18.5,10,6.8,6,5.5,78.6,,18.6,64,60.8,,12.6,,21.4,29.2,29.7,16.5,26.4,56.1,42.9,,66,72.6,79.2,92.4,89.1,99,34.3,60.9
48,APhigh,AP,AP,high3.3,D,228,206.9,198.4,191.4,187,181.9,187,197.5,197.1,199.4,205,205,209.5,192.1,199.5,5.1,2.8,1,0.8,1,,3.3,3.2,3.8,4.4,4.4,4.6,2.1,3.1,9,1.7,0.4,0.5,0.5,,2.8,2.6,1.6,0.5,0.5,,2.4,2,8,6,8,14,9,,24,16,19,22,22,23,9,15.5,12.7,8.9,7.4,3.8,,,23.2,,61.3,,14.4,18.2,8.2,18.7,26.4,19.8,26.4,46.2,29.7,,79.2,52.8,62.7,72.6,72.6,75.9,29.7,51.3
1002,DAPlow,DAP,DAP,low.3,E,267,231.1,238.2,244,249,259.7,267,270,275,275.2,279.5,285.2,285,248.2,263.5,12.1,9.5,10.9,4.5,6.4,15.8,10.9,11.9,12.8,12.3,12.6,9.7,9.9,10.8,10.6,5.6,4.7,,,13.6,9.8,7.7,6.6,5.9,2.7,0.6,8.6,6.8,31.8,25.7,34,,,73,28.8,27.9,31.9,32.2,32.1,26.8,41.1,34.4,22.4,28.5,32.3,,,36.2,31.7,29.9,32.2,36.3,31,34.5,29.9,31.5,9.5,7.7,10.2,0,0,21.9,8.6,8.4,9.6,9.6,9.6,8,8.2,10.3
1003,DAPhigh,DAP,DAP,high3.3,E,152.5,197.9,186.5,176,153.9,158.6,152.5,167.5,197.1,200.1,215.6,197.3,200,170.9,181.2,9.1,2.2,0.7,0.7,0.8,1.6,3.6,8.5,9.8,5.9,9.2,6,2.5,4.8,4.4,0.7,0.6,,,1.7,2.2,0.5,0.8,0.5,5.4,0,1.8,1.7,3.2,3.2,4.9,,,,62.6,41.9,25.2,9.3,8.1,19,3.8,19.7,13.1,8.4,11,,,8.3,19,33,25.8,15.2,20.8,31.8,10.2,18.6,10.6,10.5,16.1,0,0,0,206.7,138.1,83.3,30.8,26.6,62.8,6.2,65
1004,control,Nothing,DAP,none0,E,270.5,242.4,256.4,262.5,261.2,268.9,270.5,281.1,287,290,276.3,280,280.7,260.3,271.3,14.5,14.2,11.9,5.7,6.9,13.5,9.9,11.2,13.3,9.3,8.4,10,11.1,10.7,20.6,15.6,14.8,,,19.5,20.2,17.8,17.1,8.1,10,8.8,17.6,15.2,48,40.9,42,,,74,46.1,40,44.5,50.7,36.4,32.8,51.2,45.5,37.4,28.5,42.3,,,30.4,39.1,33.5,37.6,58.9,25.9,31.8,34.6,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,DAPhigh,DAP,DAP,high3.3,E,220,199.4,193.3,186.4,193.9,210,220,226.2,228.4,235.7,242.4,243.4,244.5,200.5,218.7,5.9,2.4,2.3,1.7,4.6,8.3,7.3,7.5,9.8,9.1,9.2,8.3,4.2,6.4,6.5,1.2,0.9,,,,5.2,3.5,3.3,2.6,3.6,0.4,2.9,3,6.3,5.6,12.3,,,31,25.6,23,31.4,27.5,24.8,23.1,13.8,21.1,15.2,8.7,9.4,,,34.9,,25.6,33,27.5,26.9,24,17,22.8,20.7,18.5,40.6,0,0,102.2,84.4,76,103.6,90.8,81.9,76.1,30.4,69.5
1006,DAPmed,DAP,DAP,med1,E,236.2,212.2,211.6,214.7,217.6,224,236.2,239.6,242,249,258.9,250,252,219.4,234.2,7.6,8.7,8.5,4.3,6.9,9,9.4,9.5,10.9,22.5,7.8,12.3,7.5,9.8,7.5,6.6,3.3,,,8.9,8.5,7,7.9,3.9,6.3,3.3,6.6,6.3,24.9,17.9,24.4,,,32.4,21.7,23.2,27.8,12.9,15.4,25.1,24.9,22.6,29.6,18.5,25.5,,,32.2,18.8,25.7,26,25.9,20.6,25.9,26.5,24.9,24.9,17.9,24.4,,,32.4,21.7,23.2,27.8,12.9,15.4,25.1,24.9,22.6
1007,DAPhigh,DAP,DAP,high3.3,E,228,205.6,198.4,186,196.4,216.7,228,233,232.7,240.5,242.1,243,248.5,205.2,223,7.1,2.2,1.6,1.1,5.3,11.9,9,8.2,10.7,10.9,8.1,9.8,4.9,7.2,5.4,0.6,0.5,,,9.4,8.3,4.4,1.5,3.2,1.9,0.3,4,3.6,5.4,5.4,11.3,,,37.1,27.2,26.3,31,27.7,23,24.4,14.8,21.9,16.6,6.8,,,,33.7,25.7,21.9,28.3,29.5,20.8,28.5,19,23.5,17.8,17.8,37.2,0,0,122.5,89.8,86.7,102.2,91.3,75.9,80.6,32.6,72.2
1008,DAPlow,DAP,DAP,low.3,E,266.1,230,239.5,243.7,248.4,256,266.1,271,273.6,275.8,280.5,281.6,277.5,247.3,262.3,11.8,9.3,13.2,3.8,9.2,14.9,12,13,13.8,12.3,13.6,10.4,10.4,11.4,9.4,5.9,6.5,,,11.4,10,8.8,9.4,,6.4,4.4,8.3,8,33.9,26.2,31.4,,,39.3,29.4,28.2,35.3,30.5,27.9,28.4,32.7,31,32.9,25.4,26.9,,,36.5,32,30.3,33.2,36.1,27.5,30,30.4,31.1,10.2,7.9,9.4,0,0,11.8,8.8,8.4,10.6,9.1,8.4,8.5,6.5,9.3
1009,control,Nothing,DAP,none0,E,266,236.3,244.9,254.8,256.7,263.6,266,273.5,273,272.1,278.7,279,278,253.7,264.8,12.4,13.3,12.7,8.9,8.5,17.4,13,13.1,15.1,12.1,15,11,12.2,12.7,25.3,15.9,16.6,,,19,16.6,18.2,19.8,11.6,11,10.5,19.2,16.5,49.9,42.1,48.6,,,80.2,42.6,43,53,44.5,37.9,41.6,55.2,48.3,31,28.8,28.9,,,30.6,31.7,28.8,36.2,26.9,33.6,25.8,29.8,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,DAPmed,DAP,DAP,med1,E,225.5,203.6,202.2,206.5,216.8,220,225.5,226.8,233.3,233,237.3,236.7,238.4,212.4,223.5,8.3,5.7,7,4,6.2,9.6,10.1,8,8.9,8.2,10.2,9.2,6.8,7.9,6.9,3.1,1.6,,,7.8,5.7,3.1,0.9,0.3,0.8,0,4.8,3,13.3,13.2,26.8,,,28.7,21.7,28,26.5,24.3,23.9,23.4,20.5,23,28.1,30,30.3,,,36.8,36.7,38,37.6,37.3,35.3,31.4,31.3,34.2,13.3,13.2,26.8,,,28.7,21.7,28,26.5,24.3,23.9,23.4,20.5,23
1011,DAPmed,DAP,DAP,med1,E,232.4,203.1,210,212.3,216.5,223,232.4,236.5,236.6,242.1,243.3,248.3,246.4,216.2,229.5,11,5.1,9.4,5.4,6.6,11.6,9.6,9.4,12.7,11.1,8.5,10.8,8.2,9.3,7.7,1.3,4.4,,,8.2,7.7,6.1,5.3,3.1,1.3,2.1,5.4,4.7,18.1,20.2,35.1,,,30.7,23.7,24.4,33.7,20.1,26.8,24.6,26,25.7,23.2,21.1,22.8,,,33.9,32.4,30.5,37.4,32.6,38.5,29.3,25.2,30.2,18.1,20.2,35.1,,,30.7,23.7,24.4,33.7,20.1,26.8,24.6,26,25.7
1012,control,Nothing,DAP,none0,E,254.3,236.2,243.8,247.5,250,255.1,254.3,261.7,263.7,262,259.4,268.2,273,247.8,256.1,13.8,13.4,14.3,7.3,7,14.8,10.3,12.1,11.5,9.5,8.4,10.3,11.8,11.1,25,22.1,20.2,,,26.8,19,16.7,21.8,11.8,9.8,10.6,23.5,18.4,53.4,42.5,46.6,,,85.1,41.9,43.6,50.5,50.8,40,45.8,56.9,50,31.3,25.1,31.3,,,29.4,28.9,26.2,26.4,23.1,25.7,28.9,29.3,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,DAPlow,DAP,DAP,low.3,E,254.1,229.6,238.4,245.6,240.4,250,254.1,264,265.2,268.7,265,270,273.5,243,255.3,13.2,10.8,13.4,7,5.9,15,13.9,14.5,17.1,11.7,12,12.1,10.9,12.2,,,,,,9,6,9.1,4,6.2,9.6,5,9,7,37.8,32.2,38.5,,,37.7,32,35.9,41.9,31.9,36.9,35.2,36.5,36,30.7,28.2,36.4,,,32.3,34.2,29.1,26.1,27.6,29.8,28.1,31.9,30.2,11.3,9.7,11.5,0,0,11.3,9.6,10.8,12.6,9.6,11.1,10.6,7.3,10.8
1133,DAPmed,DAP,DAP,med1,F,230,212.2,214.4,211.5,210.9,206.5,216.7,219.5,224.5,224.6,233.1,232.8,241.5,212,221.4,10,4.9,6.5,6.3,6,4.2,4.5,8.4,5.5,6.5,7.6,6.6,6.3,6.4,7.1,5.1,4.7,4.7,3.9,,,6.3,6.1,3.2,3.4,2.6,5.1,4.7,28.9,20,22.1,21.9,18.5,,,24.3,18.6,22.2,18.3,20.8,22.3,21.6,24,21.2,21.7,25.5,25.1,,,41.7,26.7,31.5,30.7,33.6,23.5,28.2,28.9,20,22.1,21.9,18.5,,,24.3,18.6,22.2,18.3,20.8,22.3,21.6
1134,DAPlow,DAP,DAP,low.3,F,238,233.6,243,244.9,243.4,248.7,241,256.6,253.8,263.3,260.4,262.1,267.1,242.4,250.5,11.7,7.6,9.3,9.1,7,6.6,6.1,10.7,5.1,8.4,6.8,8.2,8.5,8,14.2,7.5,7.6,8.4,5.7,,,14.1,9,8,7.5,5.8,8.7,8.8,41.1,32.5,29,24.4,24.2,,,27.8,25.1,22.7,24.2,20.6,30.2,27.2,30.4,30.2,32.4,21.6,27.5,,,32.8,31.5,31.3,30.9,28,28.4,29.6,12.3,9.7,8.7,7.3,7.2,0,0,8.4,7.5,6.8,7.3,6.2,7.6,8.1
1135,DAPmed,DAP,DAP,med1,F,231,211,222.5,224,230.8,226.9,241.5,243,255,259,263.5,248.4,269.4,226.1,240.5,10.3,5.2,9.2,7.5,9.7,6.5,6.1,10.9,8.4,8.5,7.3,11.4,8.1,8.4,5.9,1.4,3.3,1.6,0.9,,,6.9,3.3,2.8,2.4,0.7,2.6,2.9,14.1,25.8,22.5,23.6,22.1,,,30.7,20.7,22.5,9.1,34.9,21.6,22.6,22.8,24.5,34.4,36.2,27.5,,,52.1,23.8,35.7,7.9,40.8,29.1,30.6,14.1,25.8,22.5,23.6,22.1,,,30.7,20.7,22.5,9.1,34.9,21.6,22.6
1136,DAPmed,DAP,DAP,med1,F,236.7,230,242.5,240.6,246.4,252,247,255.5,262,264,267.3,267.5,279.5,243.1,253.2,14,7.4,10.7,9.8,7.7,5.4,5.9,18.1,6.6,8.8,11,7.1,9.2,9.4,22.5,7.3,8.7,4.7,2.5,,,9.5,8.9,7,7.1,5.2,9.2,8.3,32.2,27.6,22.5,27.5,23.3,,,32,21.4,22.7,21.7,25.9,26.6,25.7,27.8,27.3,25.4,24.3,23.1,,,34.4,23.1,26.8,27.8,27.4,25.6,26.7,32.2,27.6,22.5,27.5,23.3,,,32,21.4,22.7,21.7,25.9,26.6,25.7
1137,DAPhigh,DAP,DAP,high3.3,F,237,213.5,203.5,191.5,184.5,202.6,219,227.5,223.5,227,235.8,240.5,246.2,202.4,219.4,7.3,2.5,2.8,1.6,3.9,5.8,5.6,10.7,9.6,8.3,10.3,,4,6.2,9.1,0.8,0.2,0.4,0.5,,,7.6,5.8,5,5.2,1,2.2,3.5,9.7,4,5.3,8.3,28.5,,,17.2,23.1,25.9,14.6,21.1,11.2,15.8,20.6,8.4,6.1,7.5,20.5,,,49.9,29.5,41,34.4,57.9,12.6,27.6,32,13.3,17.6,27.3,94.1,0,0,56.8,76.4,85.3,48.3,69.5,30.7,52.1
1138,control,Nothing,DAP,none0,F,228.2,235,234.5,233.7,240,249.9,243.5,251.5,253,254.8,260.4,257.5,269,239.4,247,18.6,11,14.4,11.8,14.2,5.7,7.2,14.5,12.6,10.1,11.3,10.3,12.6,11.8,11.2,11.4,11.6,10.3,7,,,18.7,11.5,12.2,9.6,6.7,10.3,11,50.5,41.5,39.4,43.5,43.7,,,51.2,38,36.4,36.5,40.3,43.7,42.1,26.6,24.5,30.7,20.9,26,,,30.1,24.4,23.9,24.8,25.6,25.7,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,DAPhigh,DAP,DAP,high3.3,F,249.5,216.4,204.5,190.5,178.7,171,172.8,200,219.5,222.5,230,236.8,247.3,189,210.7,9.3,2.5,1.6,1,0.5,1.9,4,10.7,9,9.8,11.2,10.4,2.8,6,5.8,0.1,1.6,1,2.7,,,1.2,,8.2,4.9,4,2.2,3.3,5.6,3.4,5.9,4.3,2,,,38.1,21.5,26.5,30.8,27.4,4.2,16.5,18.8,6.4,2.7,1.8,2.8,,,40.3,27.4,39,37.9,41.6,6.5,21.9,18.3,11.1,19.5,14.3,6.5,0,0,125.7,70.8,87.5,101.7,90.4,11.6,54.6
1140,DAPlow,DAP,DAP,low.3,F,233.9,231,239.7,240,239.5,249.5,245.5,252,251.6,257,257.7,260.5,269.1,240.9,248.2,13.5,7.7,9.5,8.8,9.5,5.4,5.8,11.3,7.4,8.6,10.6,7.9,9.1,8.8,18.4,7.9,9.2,5.4,3.9,,,11.9,8.1,8.7,5.9,3,9,8.2,34.3,25.8,24.6,21.5,25.3,,,27.1,28,22.1,25.7,21.7,26.3,25.6,26.6,26.6,26.3,24.9,27,,,40.6,38,27.1,23.4,25.2,26.3,28.6,10.3,7.7,7.4,6.4,7.6,0,0,8.1,8.4,6.6,7.7,6.5,6.6,7.7
1141,control,Nothing,DAP,none0,F,251.4,249.4,255.3,259,258.6,272.8,270,278,273,284,284.8,283.5,292.4,260.9,270.2,15,12.6,8.7,12.3,10.8,6.9,7.7,13.2,6.7,9.5,10.8,10,11.1,10.4,16.7,9.5,10.7,10,6.8,,,24.6,13.6,15,11.3,9.3,10.7,12.7,45.7,37.6,36.7,35.7,37.8,,,44.1,33.1,33.5,31.6,30.8,38.7,36.7,39.3,31.2,28.8,25.8,36,,,35.1,39.7,32,31.7,24.2,32.2,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,DAPhigh,DAP,DAP,high3.3,F,226,198.8,190,170.5,165,158.6,185.7,183.5,198,201,204.3,208.6,214.4,178.1,192.6,8.5,2.3,2.2,0.8,1.4,3.1,2.9,8.3,6.4,8.9,9.2,7.4,3.1,5.1,8.6,0.4,0.3,0.4,0.2,,,5.4,3.3,3.9,4.5,3.1,2,3,11.2,5.9,7.6,7.2,3.7,,,27.8,16.9,18.4,22.5,20.6,7.1,14.2,20.3,8.7,7.6,1.2,0.9,,,62.7,31.8,33.1,32.3,32.9,7.8,23.2,37.1,19.5,24.9,23.6,12.3,0,0,91.7,55.8,60.6,74.3,68.1,19.6,46.8
1143,DAPlow,DAP,DAP,low.3,F,231.6,223.8,236.3,237,240.9,250.5,247,252.5,252,259.3,283.5,262.1,276.3,239.3,250.2,10.5,7,8.8,10.4,8.5,6.1,5.6,10.9,7.9,6.6,9.4,7.2,8.5,8.2,14.3,9.6,10.4,8.9,6.8,,,11.4,9.6,8.5,6.8,5.4,10,9.2,30.1,30,24.4,28.2,27.1,,,29.3,26.1,24.4,23.7,26.9,28,27,27.8,25.5,23.1,27.2,23.9,,,29.5,29,23.8,25,28.2,25.5,26.3,9,9,7.3,8.5,8.1,0,0,8.8,7.8,7.3,7.1,8.1,7,8.1
1144,control,Nothing,DAP,none0,F,228.2,223.4,236.6,237.2,241.3,249.6,249,254.1,253.6,259.8,261.4,266.2,275.1,239.5,248.9,18.7,9.8,11.9,9.2,8.8,5.9,6.3,12.8,7.7,9.3,10.3,7.8,10.7,9.9,23.5,14.8,16,13.7,9.6,,,21.8,14.9,12.8,16,10.4,15.5,15.3,71.4,32,64.7,33.2,65.7,,,46.7,33.9,33.9,33.6,32.7,53.4,44.8,27.3,26.2,29.1,22.5,27.9,,,46.4,33.6,37.3,35.7,35.2,26.6,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0